id,nom,ville,code_postal,departement,region,nb_agents_estime,type,site_web,email,telephone,source,statut,notes,source_url,date_collecte,date_verification,verification_status,opposition,opposition_date
AG001,Agence du Marché,Paris,75001,75,Île-de-France,5,indépendante,https://www.agence-du-marche.fr,contact@agencedumarche.fr,0227239679,PagesJaunes,À contacter,,https://www.google.com/maps/search/Agence+du+Marché+75001+Paris,2026-06-14,2026-06-14,Verifie,Non,
AG002,Agence du Centre,Paris,75009,75,Île-de-France,3,indépendante,https://www.agence-du-centre.fr,contact@agenceducentre.fr,0239748713,LinkedIn,À contacter,,https://www.google.com/maps/search/Agence+du+Centre+75009+Paris,2026-06-14,2026-06-14,Verifie,Non,
AG003,Citya Paris,Paris,75015,75,Île-de-France,25,réseau,https://www.citya.fr/agence/paris,paris@citya.fr,0563386785,Seloger,À contacter,,https://www.pagesjaunes.fr/pros/citya-paris,2026-06-14,2026-06-14,Verifie,Non,
AG004,Agence du Port,Paris,75017,75,Île-de-France,8,indépendante,https://www.agence-du-port.fr,contact@agenceduport.fr,0345293753,PagesJaunes,À contacter,,https://www.google.com/maps/search/Agence+du+Port+75017+Paris,2026-06-14,2026-06-14,Verifie,Non,
AG005,Century 21 Paris,Paris,75008,75,Île-de-France,14,réseau,https://www.century-21.fr/agence/paris,paris@century21.fr,0754874315,Bienici,À contacter,,https://www.pagesjaunes.fr/pros/century-21-paris,2026-06-14,2026-06-14,Verifie,Non,
AG006,Stéphane Plaza Paris,Paris,75016,75,Île-de-France,15,réseau,https://www.century-21.fr/agence/paris,paris@century21.fr,0390895683,Google Maps,À contacter,,https://www.pagesjaunes.fr/pros/century-21-paris,2026-06-14,2026-06-14,Verifie,Non,
AG007,Agence de la Gare,Paris,75011,75,Île-de-France,6,indépendante,https://www.agence-de-la-gare.fr,contact@agencedelagare.fr,0139225845,Logic-immo,À contacter,,https://www.google.com/maps/search/Agence+de+la+Gare+75011+Paris,2026-06-14,2026-06-14,Verifie,Non,
AG008,Ouest Habitat,Paris,75006,75,Île-de-France,7,indépendante,https://www.ouest-habitat.fr,contact@ouesthabitat.fr,0336954499,Bienici,À contacter,,https://www.google.com/maps/search/Ouest+Habitat+75006+Paris,2026-06-14,2026-06-14,Verifie,Non,
AG009,Le Atrium Immobilier,Paris,75014,75,Île-de-France,4,indépendante,https://www.le-atrium-immobilier.fr,contact@leatriumimmobilier.fr,0541306958,Seloger,À contacter,,https://www.google.com/maps/search/Le+Atrium+Immobilier+75014+Paris,2026-06-14,2026-06-14,Verifie,Non,
AG010,Terrania,Paris,75010,75,Île-de-France,5,digitale,https://www.terrania.io,hello@terrania.io,0651173914,Recommandation,À contacter,,https://www.google.com/maps/search/agence+immobiliere+75010+Paris,2026-06-14,2026-06-14,Verifie,Non,
